Date,Invoice_ID,Product_ID,Product_Name,Category,Quantity_Sold,Unit_Price,Discount,Revenue,Customer_Type,Payment_Method,City
2026-02-20,INV1116,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,UPI,Pune
2026-02-21,INV1117,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,New,UPI,Mumbai
2026-02-21,INV1118,P002,Blue Jeans,Bottomwear,4,1299.0,200.0,4996.0,Returning,Credit Card,Delhi
2026-02-21,INV1119,P003,Summer Dress,Dresses,2,1499.0,0.0,2998.0,New,UPI,Bangalore
2026-02-22,INV1120,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-02-22,INV1121,P001,Basic T-Shirt,Topwear,4,499.0,0.0,1996.0,New,UPI,Mumbai
2026-02-22,INV1122,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-02-23,INV1123,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-02-23,INV1124,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-02-24,INV1125,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-02-24,INV1126,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-02-25,INV1127,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,New,Cash,Bangalore
2026-02-25,INV1128,P002,Blue Jeans,Bottomwear,2,1299.0,0.0,2598.0,Returning,UPI,Pune
2026-02-26,INV1129,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,UPI,Mumbai
2026-02-26,INV1130,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Credit Card,Delhi
2026-02-27,INV1131,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,New,Cash,Bangalore
2026-02-27,INV1132,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,Returning,UPI,Pune
2026-02-28,INV1133,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,New,UPI,Mumbai
2026-02-28,INV1134,P002,Blue Jeans,Bottomwear,3,1299.0,100.0,3797.0,Returning,Credit Card,Delhi
2026-02-28,INV1135,P003,Summer Dress,Dresses,2,1499.0,0.0,2998.0,New,UPI,Bangalore
2026-03-01,INV1136,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-03-01,INV1137,P001,Basic T-Shirt,Topwear,4,499.0,0.0,1996.0,New,UPI,Mumbai
2026-03-01,INV1138,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-03-02,INV1139,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-03-02,INV1140,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-03-03,INV1141,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-03-03,INV1142,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-03-04,INV1143,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,Cash,Bangalore
2026-03-04,INV1144,P002,Blue Jeans,Bottomwear,2,1299.0,50.0,2548.0,Returning,UPI,Pune
2026-03-05,INV1145,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,New,UPI,Mumbai
2026-03-05,INV1146,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-03-06,INV1147,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,Cash,Bangalore
2026-03-06,INV1148,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,UPI,Pune
2026-03-07,INV1149,P001,Basic T-Shirt,Topwear,6,499.0,0.0,2994.0,New,UPI,Mumbai
2026-03-07,INV1150,P002,Blue Jeans,Bottomwear,4,1299.0,150.0,5046.0,Returning,Credit Card,Delhi
